go_category,go_description,go_id,accession,protein_dcid,go_dcid
dcs:GeneOntologyTypeBiologicalProcess,nucleotide catabolic process,"""GO:0009166""",HMDBP00001,bio/5NTD_HUMAN,bio/GO_0009166
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleotide metabolic process,"""GO:0006220""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0006220
dcs:GeneOntologyTypeBiologicalProcess,nucleotide biosynthetic process,"""GO:0009165""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0009165
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleoside biosynthetic process,"""GO:0046134""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0046134
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleobase metabolic process,"""GO:0006206""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0006206
dcs:GeneOntologyTypeCellularComponent,cytosol,"""GO:0005829""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0005829
dcs:GeneOntologyTypeMolecularFunction,ion binding,"""GO:0043167""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0043167
dcs:GeneOntologyTypeMolecularFunction,cation binding,"""GO:0043169""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0043169
dcs:GeneOntologyTypeMolecularFunction,metal ion binding,"""GO:0046872""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0046872
dcs:GeneOntologyTypeMolecularFunction,binding,"""GO:0005488""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0005488
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,hydrolase activity,"""GO:0016787""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0016787
dcs:GeneOntologyTypeMolecularFunction,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","""GO:0016810""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0016810
dcs:GeneOntologyTypeMolecularFunction,transition metal ion binding,"""GO:0046914""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0046914
dcs:GeneOntologyTypeMolecularFunction,zinc ion binding,"""GO:0008270""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0008270
dcs:GeneOntologyTypeMolecularFunction,dCMP deaminase activity,"""GO:0004132""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0004132
dcs:GeneOntologyTypeMolecularFunction,metal ion binding,"""GO:0046872""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0046872
dcs:GeneOntologyTypeMolecularFunction,zinc ion binding,"""GO:0008270""",HMDBP00002,bio/DCTD_HUMAN,bio/GO_0008270
dcs:GeneOntologyTypeBiologicalProcess,nucleobase-containing small molecule interconversion,"""GO:0015949""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0015949
dcs:GeneOntologyTypeCellularComponent,cytosol,"""GO:0005829""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0005829
dcs:GeneOntologyTypeCellularComponent,nucleus,"""GO:0005634""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0005634
dcs:GeneOntologyTypeMolecularFunction,binding,"""GO:0005488""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0005488
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,nucleotide kinase activity,"""GO:0019201""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0019201
dcs:GeneOntologyTypeMolecularFunction,"phosphotransferase activity, phosphate group as acceptor","""GO:0016776""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0016776
dcs:GeneOntologyTypeMolecularFunction,transferase activity,"""GO:0016740""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0016740
dcs:GeneOntologyTypeMolecularFunction,"transferase activity, transferring phosphorus-containing groups","""GO:0016772""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0016772
dcs:GeneOntologyTypeMolecularFunction,kinase activity,"""GO:0016301""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0016301
dcs:GeneOntologyTypeMolecularFunction,"nucleobase, nucleoside, nucleotide kinase activity","""GO:0019205""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0019205
dcs:GeneOntologyTypeMolecularFunction,nucleoside binding,"""GO:0001882""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0001882
dcs:GeneOntologyTypeMolecularFunction,purine nucleoside binding,"""GO:0001883""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0001883
dcs:GeneOntologyTypeMolecularFunction,adenyl nucleotide binding,"""GO:0030554""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0030554
dcs:GeneOntologyTypeMolecularFunction,adenyl ribonucleotide binding,"""GO:0032559""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0032559
dcs:GeneOntologyTypeMolecularFunction,atp binding,"""GO:0005524""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0005524
dcs:GeneOntologyTypeMolecularFunction,ATP binding,"""GO:0005524""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0005524
dcs:GeneOntologyTypeMolecularFunction,cytidylate kinase activity,"""GO:0004127""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0004127
dcs:GeneOntologyTypeMolecularFunction,"phosphotransferase activity, phosphate group as acceptor","""GO:0016776""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0016776
dcs:GeneOntologyTypeMolecularFunction,uridine kinase activity,"""GO:0004849""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0004849
dcs:GeneOntologyTypeBiologicalProcess,metabolic process,"""GO:0008152""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0008152
dcs:GeneOntologyTypeBiologicalProcess,nitrogen compound metabolic process,"""GO:0006807""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0006807
dcs:GeneOntologyTypeBiologicalProcess,cellular nitrogen compound metabolic process,"""GO:0034641""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0034641
dcs:GeneOntologyTypeBiologicalProcess,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","""GO:0015931""",HMDBP00003,bio/KCY_HUMAN,bio/GO_0015931
dcs:GeneOntologyTypeBiologicalProcess,purine nucleobase metabolic process,"""GO:0006144""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0006144
dcs:GeneOntologyTypeBiologicalProcess,purine nucleotide catabolic process,"""GO:0006195""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0006195
dcs:GeneOntologyTypeCellularComponent,cytosol,"""GO:0005829""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0005829
dcs:GeneOntologyTypeCellularComponent,cell part,"""GO:0032990""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0032990
dcs:GeneOntologyTypeCellularComponent,intracellular part,"""GO:0033646""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0033646
dcs:GeneOntologyTypeCellularComponent,cytoplasm,"""GO:0005737""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0005737
dcs:GeneOntologyTypeMolecularFunction,ion binding,"""GO:0043167""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0043167
dcs:GeneOntologyTypeMolecularFunction,cation binding,"""GO:0043169""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0043169
dcs:GeneOntologyTypeMolecularFunction,metal ion binding,"""GO:0046872""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0046872
dcs:GeneOntologyTypeMolecularFunction,"hydrolase activity, acting on ester bonds","""GO:0016788""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0016788
dcs:GeneOntologyTypeMolecularFunction,binding,"""GO:0005488""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0005488
dcs:GeneOntologyTypeMolecularFunction,nucleotide binding,"""GO:0000166""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0000166
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,hydrolase activity,"""GO:0016787""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0016787
dcs:GeneOntologyTypeMolecularFunction,phosphoric ester hydrolase activity,"""GO:0042578""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0042578
dcs:GeneOntologyTypeMolecularFunction,phosphatase activity,"""GO:0016791""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0016791
dcs:GeneOntologyTypeMolecularFunction,nucleotidase activity,"""GO:0008252""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0008252
dcs:GeneOntologyTypeMolecularFunction,5'-nucleotidase activity,"""GO:0008253""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0008253
dcs:GeneOntologyTypeMolecularFunction,magnesium ion binding,"""GO:0000287""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0000287
dcs:GeneOntologyTypeMolecularFunction,5'-nucleotidase activity,"""GO:0008253""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0008253
dcs:GeneOntologyTypeMolecularFunction,magnesium ion binding,"""GO:0000287""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0000287
dcs:GeneOntologyTypeMolecularFunction,nucleotide binding,"""GO:0000166""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0000166
dcs:GeneOntologyTypeBiologicalProcess,metabolic process,"""GO:0008152""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0008152
dcs:GeneOntologyTypeBiologicalProcess,nitrogen compound metabolic process,"""GO:0006807""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0006807
dcs:GeneOntologyTypeBiologicalProcess,cellular nitrogen compound metabolic process,"""GO:0034641""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0034641
dcs:GeneOntologyTypeBiologicalProcess,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","""GO:0015931""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0015931
dcs:GeneOntologyTypeBiologicalProcess,"nucleobase, nucleoside and nucleotide metabolic process","""GO:0055086""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0055086
dcs:GeneOntologyTypeBiologicalProcess,nucleoside phosphate metabolic process,"""GO:0006753""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0006753
dcs:GeneOntologyTypeBiologicalProcess,nucleotide metabolic process,"""GO:0009117""",HMDBP00004,bio/5NT1B_HUMAN,bio/GO_0009117
dcs:GeneOntologyTypeBiologicalProcess,adenosine metabolic process,"""GO:0046085""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0046085
dcs:GeneOntologyTypeBiologicalProcess,purine nucleobase metabolic process,"""GO:0006144""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0006144
dcs:GeneOntologyTypeBiologicalProcess,purine nucleoside monophosphate catabolic process,"""GO:0009128""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0009128
dcs:GeneOntologyTypeBiologicalProcess,purine nucleotide catabolic process,"""GO:0006195""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0006195
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleobase metabolic process,"""GO:0006206""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0006206
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleoside catabolic process,"""GO:0046135""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0046135
dcs:GeneOntologyTypeCellularComponent,cytosol,"""GO:0005829""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0005829
dcs:GeneOntologyTypeCellularComponent,cell part,"""GO:0032990""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0032990
dcs:GeneOntologyTypeCellularComponent,intracellular part,"""GO:0033646""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0033646
dcs:GeneOntologyTypeCellularComponent,cytoplasm,"""GO:0005737""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0005737
dcs:GeneOntologyTypeMolecularFunction,ion binding,"""GO:0043167""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0043167
dcs:GeneOntologyTypeMolecularFunction,cation binding,"""GO:0043169""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0043169
dcs:GeneOntologyTypeMolecularFunction,metal ion binding,"""GO:0046872""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0046872
dcs:GeneOntologyTypeMolecularFunction,"hydrolase activity, acting on ester bonds","""GO:0016788""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0016788
dcs:GeneOntologyTypeMolecularFunction,binding,"""GO:0005488""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0005488
dcs:GeneOntologyTypeMolecularFunction,nucleotide binding,"""GO:0000166""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0000166
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,hydrolase activity,"""GO:0016787""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0016787
dcs:GeneOntologyTypeMolecularFunction,phosphoric ester hydrolase activity,"""GO:0042578""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0042578
dcs:GeneOntologyTypeMolecularFunction,phosphatase activity,"""GO:0016791""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0016791
dcs:GeneOntologyTypeMolecularFunction,nucleotidase activity,"""GO:0008252""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0008252
dcs:GeneOntologyTypeMolecularFunction,5'-nucleotidase activity,"""GO:0008253""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0008253
dcs:GeneOntologyTypeMolecularFunction,magnesium ion binding,"""GO:0000287""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0000287
dcs:GeneOntologyTypeMolecularFunction,5'-nucleotidase activity,"""GO:0008253""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0008253
dcs:GeneOntologyTypeMolecularFunction,magnesium ion binding,"""GO:0000287""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0000287
dcs:GeneOntologyTypeMolecularFunction,nucleotide binding,"""GO:0000166""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0000166
dcs:GeneOntologyTypeBiologicalProcess,metabolic process,"""GO:0008152""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0008152
dcs:GeneOntologyTypeBiologicalProcess,nitrogen compound metabolic process,"""GO:0006807""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0006807
dcs:GeneOntologyTypeBiologicalProcess,cellular nitrogen compound metabolic process,"""GO:0034641""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0034641
dcs:GeneOntologyTypeBiologicalProcess,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","""GO:0015931""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0015931
dcs:GeneOntologyTypeBiologicalProcess,"nucleobase, nucleoside and nucleotide metabolic process","""GO:0055086""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0055086
dcs:GeneOntologyTypeBiologicalProcess,nucleoside phosphate metabolic process,"""GO:0006753""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0006753
dcs:GeneOntologyTypeBiologicalProcess,nucleotide metabolic process,"""GO:0009117""",HMDBP00005,bio/5NT1A_HUMAN,bio/GO_0009117
dcs:GeneOntologyTypeBiologicalProcess,purine nucleobase metabolic process,"""GO:0006144""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0006144
dcs:GeneOntologyTypeBiologicalProcess,purine nucleotide catabolic process,"""GO:0006195""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0006195
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleobase metabolic process,"""GO:0006206""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0006206
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleoside catabolic process,"""GO:0046135""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0046135
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine deoxyribonucleotide catabolic process,"""GO:0009223""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0009223
dcs:GeneOntologyTypeCellularComponent,cytosol,"""GO:0005829""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0005829
dcs:GeneOntologyTypeCellularComponent,mitochondrion,"""GO:0005739""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0005739
dcs:GeneOntologyTypeCellularComponent,nucleus,"""GO:0005634""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0005634
dcs:GeneOntologyTypeMolecularFunction,"hydrolase activity, acting on ester bonds","""GO:0016788""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0016788
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,hydrolase activity,"""GO:0016787""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0016787
dcs:GeneOntologyTypeMolecularFunction,phosphoric ester hydrolase activity,"""GO:0042578""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0042578
dcs:GeneOntologyTypeMolecularFunction,phosphatase activity,"""GO:0016791""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0016791
dcs:GeneOntologyTypeMolecularFunction,5'-nucleotidase activity,"""GO:0008253""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0008253
dcs:GeneOntologyTypeMolecularFunction,metal ion binding,"""GO:0046872""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0046872
dcs:GeneOntologyTypeMolecularFunction,pyrimidine nucleotide binding,"""GO:0019103""",HMDBP00006,bio/NT5C_HUMAN,bio/GO_0019103
dcs:GeneOntologyTypeBiologicalProcess,deoxycytidine metabolic process,"""GO:0046092""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0046092
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleotide metabolic process,"""GO:0006220""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0006220
dcs:GeneOntologyTypeBiologicalProcess,purine nucleobase metabolic process,"""GO:0006144""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0006144
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleoside salvage,"""GO:0043097""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0043097
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleobase metabolic process,"""GO:0006206""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0006206
dcs:GeneOntologyTypeBiologicalProcess,drug metabolic process,"""GO:0017144""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0017144
dcs:GeneOntologyTypeBiologicalProcess,purine-containing compound salvage,"""GO:0043101""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0043101
dcs:GeneOntologyTypeCellularComponent,cytosol,"""GO:0005829""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0005829
dcs:GeneOntologyTypeCellularComponent,nucleus,"""GO:0005634""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0005634
dcs:GeneOntologyTypeMolecularFunction,binding,"""GO:0005488""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0005488
dcs:GeneOntologyTypeMolecularFunction,catalytic activity,"""GO:0003824""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0003824
dcs:GeneOntologyTypeMolecularFunction,transferase activity,"""GO:0016740""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0016740
dcs:GeneOntologyTypeMolecularFunction,"transferase activity, transferring phosphorus-containing groups","""GO:0016772""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0016772
dcs:GeneOntologyTypeMolecularFunction,nucleoside binding,"""GO:0001882""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0001882
dcs:GeneOntologyTypeMolecularFunction,purine nucleoside binding,"""GO:0001883""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0001883
dcs:GeneOntologyTypeMolecularFunction,adenyl nucleotide binding,"""GO:0030554""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0030554
dcs:GeneOntologyTypeMolecularFunction,adenyl ribonucleotide binding,"""GO:0032559""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0032559
dcs:GeneOntologyTypeMolecularFunction,atp binding,"""GO:0005524""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0005524
dcs:GeneOntologyTypeMolecularFunction,"phosphotransferase activity, alcohol group as acceptor","""GO:0016773""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0016773
dcs:GeneOntologyTypeMolecularFunction,deoxycytidine kinase activity,"""GO:0004137""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0004137
dcs:GeneOntologyTypeMolecularFunction,pyrimidine deoxyribonucleoside binding,"""GO:0032548""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0032548
dcs:GeneOntologyTypeMolecularFunction,magnesium ion binding,"""GO:0000287""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0000287
dcs:GeneOntologyTypeMolecularFunction,"phosphotransferase activity, alcohol group as acceptor","""GO:0016773""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0016773
dcs:GeneOntologyTypeMolecularFunction,ATP binding,"""GO:0005524""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0005524
dcs:GeneOntologyTypeMolecularFunction,drug binding,"""GO:0008144""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0008144
dcs:GeneOntologyTypeBiologicalProcess,metabolic process,"""GO:0008152""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0008152
dcs:GeneOntologyTypeBiologicalProcess,nitrogen compound metabolic process,"""GO:0006807""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0006807
dcs:GeneOntologyTypeBiologicalProcess,cellular nitrogen compound metabolic process,"""GO:0034641""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0034641
dcs:GeneOntologyTypeBiologicalProcess,"nucleobase, nucleoside, nucleotide and nucleic acid metabolic process","""GO:0015931""",HMDBP00007,bio/DCK_HUMAN,bio/GO_0015931
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleobase metabolic process,"""GO:0006206""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0006206
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine nucleoside catabolic process,"""GO:0046135""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0046135
dcs:GeneOntologyTypeBiologicalProcess,DNA replication,"""GO:0006260""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0006260
dcs:GeneOntologyTypeBiologicalProcess,pyrimidine deoxyribonucleotide catabolic process,"""GO:0009223""",HMDBP00008,bio/NT5M_HUMAN,bio/GO_0009223
