accession,protein_pathway,protein_dcid
HMDBP00009,dcs:KeggProteinPathway3MethylcrotonylCoaCarboxylaseDeficiencyTypeI,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathway3MethylglutaconicAciduriaTypeI,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathway3MethylglutaconicAciduriaTypeIii,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathway3MethylglutaconicAciduriaTypeIv,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayBetaKetothiolaseDeficiency,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayButanoateMetabolism,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayButyrateMetabolism,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayIsobutyrylCoaDehydrogenaseDeficiency,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayIsovalericAcidemia,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayIsovalericAciduria,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayKetoneBodyMetabolism,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayMapleSyrupUrineDisease,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayMethylmalonateSemialdehydeDehydrogenaseDeficiency,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayMethylmalonicAciduria,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayPeroxisome,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayPropionicAcidemia,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwaySuccinylCoa3KetoacidCoaTransferaseDeficiency,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwaySynthesisAndDegradationOfKetoneBodies,bio/HMGCL_HUMAN
HMDBP00009,dcs:KeggProteinPathwayValineLeucineAndIsoleucineDegradation,bio/HMGCL_HUMAN
HMDBP00010,dcs:KeggProteinPathwayCitrateCycleTcaCycle,bio/ACLY_HUMAN
HMDBP00010,dcs:KeggProteinPathwayGlutaminolysisAndCancer,bio/ACLY_HUMAN
HMDBP00010,dcs:KeggProteinPathwayTransferOfAcetylGroupsIntoMitochondria,bio/ACLY_HUMAN
HMDBP00011,dcs:KeggProteinPathwayAdherensJunction,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayCellCycle,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayEpsteinBarrVirusInfection,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayHepatitisB,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayHerpesSimplexInfection,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayHif1SignalingPathway,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayHtlvIInfection,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayHuntingtonSDisease,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayInfluenzaA,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayJakStatSignalingPathway,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayLongTermPotentiation,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayMelanogenesis,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayNotchSignalingPathway,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayProstateCancer,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayRenalCellCarcinoma,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayTgfBetaSignalingPathway,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayTuberculosis,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayViralCarcinogenesis,bio/EP300_HUMAN
HMDBP00011,dcs:KeggProteinPathwayWntSignalingPathway,bio/EP300_HUMAN
HMDBP00012,dcs:KeggProteinPathway2KetoglutarateDehydrogenaseComplexDeficiency,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayButanoateMetabolism,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayCitrateCycleTcaCycle,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayCitricAcidCycle,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayCongenitalLacticAcidosis,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayFumaraseDeficiency,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayGlutaminolysisAndCancer,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayGlycolysisGluconeogenesis,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayHif1SignalingPathway,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayLeighSyndrome,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayMitochondrialComplexIiDeficiency,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayPrimaryHyperoxaluriaIiPh2,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayPyruvateDecarboxylaseE1ComponentDeficiencyPdhe1Deficiency,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayPyruvateDehydrogenaseComplexDeficiency,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayPyruvateDehydrogenaseDeficiencyE2,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayPyruvateDehydrogenaseDeficiencyE3,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayPyruvateKinaseDeficiency,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayPyruvateMetabolism,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayTheOncogenicActionOf2Hydroxyglutarate,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayTheOncogenicActionOfD2HydroxyglutarateInHydroxygluaricaciduria,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayTheOncogenicActionOfFumarate,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayTheOncogenicActionOfL2HydroxyglutarateInHydroxygluaricaciduria,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayTheOncogenicActionOfSuccinate,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayTransferOfAcetylGroupsIntoMitochondria,bio/ODPB_HUMAN
HMDBP00012,dcs:KeggProteinPathwayWarburgEffect,bio/ODPB_HUMAN
HMDBP00013,dcs:KeggProteinPathwayAlendronateActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayAtorvastatinActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayButanoateMetabolism,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayCerivastatinActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayChildSyndrome,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayCholesterylEsterStorageDisease,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayChondrodysplasiaPunctataIiXLinkedDominantCdpx2,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayDesmosterolosis,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayFatDigestionAndAbsorption,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayFattyAcidMetabolism,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayFluvastatinActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayGlyoxylateAndDicarboxylateMetabolism,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayHyperIgdSyndrome,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayHypercholesterolemia,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayIbandronateActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayLovastatinActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayLysineDegradation,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayLysosomalAcidLipaseDeficiencyWolmanDisease,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayMevalonicAciduria,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayPamidronateActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayPravastatinActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayPropanoateMetabolism,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayPyruvateMetabolism,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayRisedronateActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayRosuvastatinActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwaySimvastatinActionPathway,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwaySmithLemliOpitzSyndromeSlos,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwaySteroidBiosynthesis,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwaySynthesisAndDegradationOfKetoneBodies,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayTerpenoidBackboneBiosynthesis,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayTryptophanMetabolism,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayValineLeucineAndIsoleucineDegradation,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayWolmanDisease,bio/THIC_HUMAN
HMDBP00013,dcs:KeggProteinPathwayZoledronateActionPathway,bio/THIC_HUMAN
HMDBP00014,dcs:KeggProteinPathwayAdherensJunction,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayCellCycle,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayEpsteinBarrVirusInfection,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayHepatitisB,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayHerpesSimplexInfection,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayHif1SignalingPathway,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayHtlvIInfection,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayHuntingtonSDisease,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayInfluenzaA,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayJakStatSignalingPathway,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayLongTermPotentiation,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayMelanogenesis,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayNotchSignalingPathway,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayProstateCancer,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayRenalCellCarcinoma,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayTgfBetaSignalingPathway,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayTuberculosis,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayViralCarcinogenesis,bio/CBP_HUMAN
HMDBP00014,dcs:KeggProteinPathwayWntSignalingPathway,bio/CBP_HUMAN
HMDBP00015,dcs:KeggProteinPathwayArginineAndProlineMetabolism,bio/SAT2_HUMAN
HMDBP00015,dcs:KeggProteinPathwayPutrescineDegradation,bio/SAT2_HUMAN
HMDBP00016,dcs:KeggProteinPathwayAcetylCoaBiosynthesis,bio/DCMC_HUMAN
HMDBP00016,dcs:KeggProteinPathwayBetaAlanineMetabolism,bio/DCMC_HUMAN
HMDBP00016,dcs:KeggProteinPathwayMalonicAciduria,bio/DCMC_HUMAN
HMDBP00016,dcs:KeggProteinPathwayMalonylCoaDecarboxylaseDeficiency,bio/DCMC_HUMAN
HMDBP00016,dcs:KeggProteinPathwayMethylmalonicAciduriaDueToCobalaminRelatedDisorders,bio/DCMC_HUMAN
HMDBP00016,dcs:KeggProteinPathwayPeroxisome,bio/DCMC_HUMAN
HMDBP00016,dcs:KeggProteinPathwayPropanoateMetabolism,bio/DCMC_HUMAN
HMDBP00017,dcs:KeggProteinPathwayGlycineSerineAndThreonineMetabolism,bio/HEM0_HUMAN
HMDBP00017,dcs:KeggProteinPathwayPorphyrinAndChlorophyllMetabolism,bio/HEM0_HUMAN
HMDBP00017,dcs:KeggProteinPathwayProtoporphyrinIxBiosynthesis,bio/HEM0_HUMAN
HMDBP00018,dcs:KeggProteinPathwayAdipocytokineSignalingPathway,bio/ACACB_HUMAN
HMDBP00018,dcs:KeggProteinPathwayFattyAcidBiosynthesis,bio/ACACB_HUMAN
HMDBP00018,dcs:KeggProteinPathwayInsulinSignalingPathway,bio/ACACB_HUMAN
HMDBP00018,dcs:KeggProteinPathwayMalonylCoaBiosynthesis,bio/ACACB_HUMAN
HMDBP00018,dcs:KeggProteinPathwayPropanoateMetabolism,bio/ACACB_HUMAN
HMDBP00018,dcs:KeggProteinPathwayPyruvateMetabolism,bio/ACACB_HUMAN
HMDBP00019,dcs:KeggProteinPathway2KetoglutarateDehydrogenaseComplexDeficiency,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayAlanineMetabolism,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayCitrateCycleTcaCycle,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayCitricAcidCycle,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayCongenitalLacticAcidosis,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayFructose16DiphosphataseDeficiency,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayFumaraseDeficiency,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayGluconeogenesis,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayGlutaminolysisAndCancer,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayGlycogenStorageDiseaseType1AGsd1AOrVonGierkeDisease,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayGlycogenosisTypeIaVonGierkeDisease,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayGlycogenosisTypeIb,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayGlycogenosisTypeIc,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayLacticAcidemia,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayLeighSyndrome,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayMitochondrialComplexIiDeficiency,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayPhosphoenolpyruvateCarboxykinaseDeficiency1Pepck1,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayPrimaryHyperoxaluriaIiPh2,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayPrimaryHyperoxaluriaTypeI,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayPyruvateCarboxylaseDeficiency,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayPyruvateDecarboxylaseE1ComponentDeficiencyPdhe1Deficiency,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayPyruvateDehydrogenaseComplexDeficiency,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayPyruvateDehydrogenaseDeficiencyE2,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayPyruvateDehydrogenaseDeficiencyE3,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayPyruvateKinaseDeficiency,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayPyruvateMetabolism,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayTheOncogenicActionOf2Hydroxyglutarate,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayTheOncogenicActionOfD2HydroxyglutarateInHydroxygluaricaciduria,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayTheOncogenicActionOfFumarate,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayTheOncogenicActionOfL2HydroxyglutarateInHydroxygluaricaciduria,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayTheOncogenicActionOfSuccinate,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayTransferOfAcetylGroupsIntoMitochondria,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayTriosephosphateIsomerase,bio/PYC_HUMAN
HMDBP00019,dcs:KeggProteinPathwayWarburgEffect,bio/PYC_HUMAN
HMDBP00020,dcs:KeggProteinPathwayCaffeineMetabolism,bio/ARY1_HUMAN
HMDBP00020,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/ARY1_HUMAN
HMDBP00020,dcs:KeggProteinPathwayDrugMetabolismOtherEnzymes,bio/ARY1_HUMAN
HMDBP00021,dcs:KeggProteinPathwayCaffeineMetabolism,bio/ARY2_HUMAN
HMDBP00021,dcs:KeggProteinPathwayChemicalCarcinogenesis,bio/ARY2_HUMAN
HMDBP00021,dcs:KeggProteinPathwayDrugMetabolismOtherEnzymes,bio/ARY2_HUMAN
HMDBP00022,dcs:KeggProteinPathway3PhosphoglycerateDehydrogenaseDeficiency,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayAcuteIntermittentPorphyria,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayCongenitalErythropoieticPorphyriaCepOrGuntherDisease,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayDihydropyrimidineDehydrogenaseDeficiencyDhpd,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayDimethylglycineDehydrogenaseDeficiency,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayGlycineAndSerineMetabolism,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayGlycineSerineAndThreonineMetabolism,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayHereditaryCoproporphyriaHcp,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayHyperglycinemiaNonKetotic,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayNonKetoticHyperglycinemia,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayPorphyriaVariegataPv,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayPorphyrinAndChlorophyllMetabolism,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayPorphyrinMetabolism,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwayProtoporphyrinIxBiosynthesis,bio/HEM1_HUMAN
HMDBP00022,dcs:KeggProteinPathwaySarcosinemia,bio/HEM1_HUMAN
HMDBP00023,,bio/TF3C4_HUMAN
HMDBP00024,dcs:KeggProteinPathwayLeighSyndrome,bio/ACO12_HUMAN
HMDBP00024,dcs:KeggProteinPathwayPrimaryHyperoxaluriaIiPh2,bio/ACO12_HUMAN
HMDBP00024,dcs:KeggProteinPathwayPyruvateDecarboxylaseE1ComponentDeficiencyPdhe1Deficiency,bio/ACO12_HUMAN
HMDBP00024,dcs:KeggProteinPathwayPyruvateDehydrogenaseComplexDeficiency,bio/ACO12_HUMAN
HMDBP00024,dcs:KeggProteinPathwayPyruvateKinaseDeficiency,bio/ACO12_HUMAN
HMDBP00024,dcs:KeggProteinPathwayPyruvateMetabolism,bio/ACO12_HUMAN
HMDBP00025,dcs:KeggProteinPathwayCholinergicSynapse,bio/CLAT_HUMAN
HMDBP00025,dcs:KeggProteinPathwayGlycerophospholipidMetabolism,bio/CLAT_HUMAN
HMDBP00025,dcs:KeggProteinPathwayPhospholipidBiosynthesis,bio/CLAT_HUMAN
HMDBP00026,,bio/NCOA3_HUMAN
HMDBP00027,dcs:KeggProteinPathwayHtlvIInfection,bio/KAT2B_HUMAN
HMDBP00027,dcs:KeggProteinPathwayNotchSignalingPathway,bio/KAT2B_HUMAN
HMDBP00027,dcs:KeggProteinPathwayViralCarcinogenesis,bio/KAT2B_HUMAN
HMDBP00028,dcs:KeggProteinPathwayAdrenoleukodystrophyXLinked,bio/CACP_HUMAN
HMDBP00028,dcs:KeggProteinPathwayBetaOxidationOfVeryLongChainFattyAcids,bio/CACP_HUMAN
HMDBP00028,dcs:KeggProteinPathwayCarnitineAcylcarnitineTranslocaseDeficiency,bio/CACP_HUMAN
HMDBP00028,dcs:KeggProteinPathwayOxidationOfBranchedChainFattyAcids,bio/CACP_HUMAN
HMDBP00028,dcs:KeggProteinPathwayPeroxisome,bio/CACP_HUMAN
HMDBP00029,dcs:KeggProteinPathwayArginineAndProlineMetabolism,bio/SAT1_HUMAN
HMDBP00029,dcs:KeggProteinPathwayPutrescineDegradation,bio/SAT1_HUMAN
HMDBP00030,dcs:KeggProteinPathwayMelatoninBiosynthesis,bio/SNAT_HUMAN
HMDBP00030,dcs:KeggProteinPathwayTryptophanMetabolism,bio/SNAT_HUMAN
HMDBP00031,dcs:KeggProteinPathway2Methyl3HydroxybutrylCoaDehydrogenaseDeficiency,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathway3Hydroxy3MethylglutarylCoaLyaseDeficiency,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathway3HydroxyisobutyricAcidDehydrogenaseDeficiency,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathway3HydroxyisobutyricAciduria,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathway3MethylcrotonylCoaCarboxylaseDeficiencyTypeI,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathway3MethylglutaconicAciduriaTypeI,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathway3MethylglutaconicAciduriaTypeIii,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathway3MethylglutaconicAciduriaTypeIv,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathwayBetaKetothiolaseDeficiency,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathwayCarnitinePalmitoylTransferaseDeficiencyI,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathwayCarnitinePalmitoylTransferaseDeficiencyIi,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathwayEthylmalonicEncephalopathy,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathwayFattyAcidElongation,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathwayFattyAcidElongationInMitochondria,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathwayFattyAcidMetabolism,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathwayGlutaricAciduriaTypeI,bio/THIM_HUMAN
HMDBP00031,dcs:KeggProteinPathwayIsobutyrylCoaDehydrogenaseDeficiency,bio/THIM_HUMAN
