accession,protein_type,general_function,specific_function,subcellular_location,residue_number,genbank_protein_id,uniprot_id,genbank_gene_id,genecard_id,hgnc_id,protein_dcid,gene19_dcid,gene38_dcid
HMDBP00016,dcs:ProteinTypeEnzyme,"""Involved in malonyl-CoA decarboxylase activity""","""Catalyzes the conversion of malonyl-CoA to acetyl-CoA. In the fatty acid biosynthesis MCD selectively removes malonyl-CoA and thus assures that methyl-malonyl-CoA is the only chain elongating substrate for fatty acid synthase and that fatty acids with multiple methyl side chains are produced. In peroxisomes it may be involved in degrading intraperoxisomal malonyl-CoA, which is generated by the peroxisomal beta-oxidation of odd chain-length dicarboxylic fatty acids.""",dcs:CellularCompartmentCytoplasm,493,5732237,O95822,AF090834,MLYCD,7150,bio/DCMC_HUMAN,bio/hg19_MLYCD,bio/hg38_MLYCD
HMDBP00017,dcs:ProteinTypeUnknown,"""Involved in 5-aminolevulinate synthase activity""","""nan""",dcs:CellularCompartmentMitochondrionMatrix,587,3220249,P22557,AF068624,ALAS2,397,bio/HEM0_HUMAN,bio/hg19_ALAS2,bio/hg38_ALAS2
HMDBP00018,dcs:ProteinTypeUnknown,"""Involved in acetyl-CoA carboxylase activity""","""ACC-beta may be involved in the provision of malonyl-CoA or in the regulation of fatty acid oxidation, rather than fatty acid biosynthesis. Carries out three functions: biotin carboxyl carrier protein, biotin carboxylase and carboxyltransferase.""",dcs:CellularCompartmentEndomembraneSystem,2458,134142062,O00763,NM_001093.3,ACACB,85,bio/ACACB_HUMAN,bio/hg19_ACACB,bio/hg38_ACACB
HMDBP00019,dcs:ProteinTypeUnknown,"""Involved in catalytic activity""","""Pyruvate carboxylase catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. Catalyzes in a tissue specific manner, the initial reactions of glucose (liver, kidney) and lipid (adipose tissue, liver, brain) synthesis from pyruvate.""",dcs:CellularCompartmentMitochondrionMatrix,1178,458236,P11498,U04641,PC,8636,bio/PYC_HUMAN,bio/hg19_PC,bio/hg38_PC
HMDBP00020,dcs:ProteinTypeEnzyme,"""Involved in acetyltransferase activity""","""Participates in the detoxification of a plethora of hydrazine and arylamine drugs. Catalyzes the N- or O-acetylation of various arylamine and heterocyclic amine substrates and is able to bioactivate several known carcinogens.""",dcs:CellularCompartmentCytoplasm,290,2258431,P18440,AF008204,NAT1,7645,bio/ARY1_HUMAN,bio/hg19_NAT1,bio/hg38_NAT1
HMDBP00021,dcs:ProteinTypeEnzyme,"""Involved in acetyltransferase activity""","""Participates in the detoxification of a plethora of hydrazine and arylamine drugs. Catalyzes the N- or O-acetylation of various arylamine and heterocyclic amine substrates and is able to bioactivate several known carcinogens.""",dcs:CellularCompartmentCytoplasm,290,2801807,P11245,AF042740,NAT2,7646,bio/ARY2_HUMAN,bio/hg19_NAT2,bio/hg38_NAT2
HMDBP00022,dcs:ProteinTypeUnknown,"""Involved in 5-aminolevulinate synthase activity""","""nan""",dcs:CellularCompartmentMitochondrionMatrix,640,28583,P13196,X56351,ALAS1,396,bio/HEM1_HUMAN,bio/hg19_ALAS1,bio/hg38_ALAS1
HMDBP00023,dcs:ProteinTypeEnzyme,"""Involved in DNA binding""","""Essential for RNA polymerase III to make a number of small nuclear and cytoplasmic RNAs, including 5S RNA, tRNA, and adenovirus-associated (VA) RNA of both cellular and viral origin. Has histone acetyltransferase activity (HAT) with unique specificity for free and nucleosomal H3. May cooperate with GTF3C5 in facilitating the recruitment of TFIIIB and RNA polymerase through direct interactions with BRF1, POLR3C and POLR3F. May be localized close to the A box.""",dcs:CellularCompartmentNucleus,822,6175593,Q9UKN8,AF142328,GTF3C4,4667,bio/TF3C4_HUMAN,bio/hg19_GTF3C4,bio/hg38_GTF3C4
HMDBP00024,dcs:ProteinTypeEnzyme,"""Lipid transport and metabolism""","""Hydrolyzes acetyl-CoA to acetate and CoA.""",dcs:CellularCompartmentCytoplasm,555,18307694,Q8WYK0,AB078619,ACOT12,24436,bio/ACO12_HUMAN,bio/hg19_ACOT12,bio/hg38_ACOT12
HMDBP00025,dcs:ProteinTypeEnzyme,"""Involved in acyltransferase activity""","""Catalyzes the reversible synthesis of acetylcholine (ACh) from acetyl CoA and choline at cholinergic synapses.""",,748,188595670,P28329,NM_020549.4,CHAT,1912,bio/CLAT_HUMAN,bio/hg19_CHAT,bio/hg38_CHAT
HMDBP00026,dcs:ProteinTypeEnzyme,"""Involved in transcription coactivator activity""","""Nuclear receptor coactivator that directly binds nuclear receptors and stimulates the transcriptional activities in a hormone-dependent fashion. Plays a central role in creating a multisubunit coactivator complex, which probably acts via remodeling of chromatin. Involved in the coactivation of different nuclear receptors, such as for steroids (GR and ER), retinoids (RARs and RXRs), thyroid hormone (TRs), vitamin D3 (VDR) and prostanoids (PPARs). Displays histone acetyltransferase activity. Also involved in the coactivation of the NF-kappa-B pathway via its interaction with the NFKB1 subunit. Interacts with PSMB9.""",dcs:CellularCompartmentNucleus,1424,32307126,Q9Y6Q9,NM_181659.2,NCOA3,7670,bio/NCOA3_HUMAN,bio/hg19_NCOA3,bio/hg38_NCOA3
HMDBP00027,dcs:ProteinTypeEnzyme,"""Involved in N-acetyltransferase activity""","""Functions as a histone acetyltransferase (HAT) to promote transcriptional activation. Has significant histone acetyltransferase activity with core histones (H3 and H4), and also with nucleosome core particles. Inhibits cell-cycle progression and counteracts the mitogenic activity of the adenoviral oncoprotein E1A. In case of HIV-1 infection, it is recruited by the viral protein Tat. Regulates Tat's transactivating activity and may help inducing chromatin remodeling of proviral genes.""",dcs:CellularCompartmentNucleus,832,38173798,Q92831,BC060823,KAT2B,8638,bio/KAT2B_HUMAN,bio/hg19_KAT2B,bio/hg38_KAT2B
HMDBP00028,dcs:ProteinTypeEnzyme,"""Involved in acyltransferase activity""","""Carnitine acetylase is specific for short chain fatty acids. Carnitine acetylase seems to affect the flux through the pyruvate dehydrogenase complex. It may be involved as well in the transport of acetyl-CoA into mitochondria.""",dcs:CellularCompartmentPeroxisome,626,55958023,P43155,AL158151,CRAT,2342,bio/CACP_HUMAN,bio/hg19_CRAT,bio/hg38_CRAT
HMDBP00029,dcs:ProteinTypeEnzyme,"""Involved in N-acetyltransferase activity""","""Enzyme which catalyzes the acetylation of polyamines. Substrate specificity: norspermidine = spermidine >> spermine > N(1)-acetylspermine > putrescine. This highly regulated enzyme allows a fine attenuation of the intracellular concentration of polyamines. Also involved in the regulation of polyamine transport out of cells. Acts on 1,3-diaminopropane, 1,5-diaminopentane, putrescine, spermidine (forming N(1)- and N(8)-acetylspermidine), spermine, N(1)-acetylspermidine and N(8)-acetylspermidine.""",dcs:CellularCompartmentCytoplasm,171,,P21673,M77693,SAT1,10540,bio/SAT1_HUMAN,bio/hg19_SAT1,bio/hg38_SAT1
HMDBP00030,dcs:ProteinTypeEnzyme,"""Involved in N-acetyltransferase activity""","""Controls the night/day rhythm of melatonin production in the pineal gland. Catalyzes the N-acetylation of serotonin into N-acetylserotonin, the penultimate step in the synthesis of melatonin.""",dcs:CellularCompartmentCytoplasm,207,,Q16613,U40347,AANAT,19,bio/SNAT_HUMAN,bio/hg19_AANAT,bio/hg38_AANAT
HMDBP00031,dcs:ProteinTypeEnzyme,"""Involved in transferase activity, transferring acyl groups other than amino-acyl groups""","""Abolishes BNIP3-mediated apoptosis and mitochondrial damage.""",dcs:CellularCompartmentMitochondrion,397,12804931,P42765,BC001918,ACAA2,83,bio/THIM_HUMAN,bio/hg19_ACAA2,bio/hg38_ACAA2
HMDBP00033,dcs:ProteinTypeEnzyme,"""Involved in chromatin binding""","""Has histone acetyltransferase activity, with a preference for histone H4.""",dcs:CellularCompartmentNucleus,540,25453481,Q9Y6F8,NM_170723.1,CDY1,23920,bio/CDY1_HUMAN,bio/hg19_CDY1,bio/hg38_CDY1
HMDBP00035,dcs:ProteinTypeEnzyme,"""Involved in transferase activity""","""Fatty acid synthetase catalyzes the formation of long-chain fatty acids from acetyl-CoA, malonyl-CoA and NADPH. This multifunctional protein has 7 catalytic activities and an acyl carrier protein.""",dcs:CellularCompartmentCytoplasm,2511,41872631,P49327,NM_004104.4,FASN,3594,bio/FAS_HUMAN,bio/hg19_FASN,bio/hg38_FASN
HMDBP00036,dcs:ProteinTypeEnzyme,"""Involved in chromatin binding""","""Catalytic subunit of the NuA4 histone acetyltransferase complex which is involved in transcriptional activation of select genes principally by acetylation of nucleosomal histones H4 and H2A. This modification may both alter nucleosome-DNA interactions and promote interaction of the modified histones with other proteins which positively regulate transcription. This complex may be required for the activation of transcriptional programs associated with oncogene and proto-oncogene mediated growth induction, tumor suppressor mediated growth arrest and replicative senescence, apoptosis, and DNA repair. NuA4 may also play a direct role in DNA repair when recruited to sites of DNA damage. Directly acetylates and activates ATM. In case of HIV-1 infection, interaction with the viral Tat protein leads to KAT5 polyubiquitination and targets it to degradation.""",dcs:CellularCompartmentNucleus,513,27802679,Q92993,AY214165,KAT5,5275,bio/KAT5_HUMAN,bio/hg19_KAT5,bio/hg38_KAT5
HMDBP00037,dcs:ProteinTypeEnzyme,"""Involved in acetate-CoA ligase activity""","""Activates acetate so that it can be used for lipid synthesis or for energy generation.""",dcs:CellularCompartmentCytoplasm,701,,Q9NR19,AF263614,ACSS2,15814,bio/ACSA_HUMAN,bio/hg19_ACSS2,bio/hg38_ACSS2
HMDBP00038,dcs:ProteinTypeEnzyme,"""Involved in transferase activity, transferring acyl groups other than amino-acyl groups""","""Plays a major role in ketone body metabolism.""",dcs:CellularCompartmentMitochondrion,427,,P24752,D90228,ACAT1,93,bio/THIL_HUMAN,bio/hg19_ACAT1,bio/hg38_ACAT1
HMDBP00039,dcs:ProteinTypeEnzyme,"""Involved in transcription coactivator activity""","""Nuclear receptor coactivator that directly binds nuclear receptors and stimulates the transcriptional activities in a hormone-dependent fashion. Involved in the coactivation of different nuclear receptors, such as for steroids (PGR, GR and ER), retinoids (RXRs), thyroid hormone (TRs) and prostanoids (PPARs). Also involved in coactivation mediated by STAT3, STAT5A, STAT5B and STAT6 transcription factors. Displays histone acetyltransferase activity toward H3 and H4; the relevance of such activity remains however unclear. Plays a central role in creating multisubunit coactivator complexes that act via remodeling of chromatin, and possibly acts by participating in both chromatin remodeling and recruitment of general transcription factors. Required with NCOA2 to control energy balance between white and brown adipose tissues. Required for mediating steroid hormone response. Isoform 2 has a higher thyroid hormone-dependent transactivation activity than isoform 1 and isoform 3.""",dcs:CellularCompartmentNucleus,1441,62702258,Q15788,AC013459,NCOA1,7668,bio/NCOA1_HUMAN,bio/hg19_NCOA1,bio/hg38_NCOA1
HMDBP00040,dcs:ProteinTypeEnzyme,"""Involved in hydroxymethylglutaryl-CoA synthase activity""","""This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase.""",dcs:CellularCompartmentMitochondrion,508,56205097,P54868,AL589734,HMGCS2,5008,bio/HMCS2_HUMAN,bio/hg19_HMGCS2,bio/hg38_HMGCS2
HMDBP00041,dcs:ProteinTypeEnzyme,"""Involved in acyltransferase activity""","""Required for anchoring dihydrolipoamide dehydrogenase (E3) to the dihydrolipoamide transacetylase (E2) core of the pyruvate dehydrogenase complexes of eukaryotes. This specific binding is essential for a functional PDH complex""",dcs:CellularCompartmentMitochondrionMatrix,501,2316040,O00330,AF001437,PDHX,21350,bio/ODPX_HUMAN,bio/hg19_PDHX,bio/hg38_PDHX
HMDBP00042,dcs:ProteinTypeEnzyme,"""Involved in acetate-CoA ligase activity""","""Important for maintaining normal body temperature during fasting and for energy homeostasis. Essential for energy expenditure under ketogenic conditions (By similarity). Converts acetate to acetyl-CoA so that it can be used for oxidation through the tricarboxylic cycle to produce ATP and CO(2).""",dcs:CellularCompartmentMitochondrionMatrix,689,24659677,Q9NUB1,BC039261,ACSS1,16091,bio/ACS2L_HUMAN,bio/hg19_ACSS1,bio/hg38_ACSS1
HMDBP00043,dcs:ProteinTypeEnzyme,"""Involved in transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer""","""nan""",dcs:CellularCompartmentMitochondrionMatrix,466,3288815,O75390,AF047042,CS,2422,bio/CISY_HUMAN,bio/hg19_CS,bio/hg38_CS
HMDBP00044,dcs:ProteinTypeEnzyme,"""Involved in chromatin binding""","""May have histone acetyltransferase activity (By similarity).""",dcs:CellularCompartmentNucleus,541,4558754,Q9Y6F7,AF080598,CDY2A,23921,bio/CDY2_HUMAN,bio/hg19_CDY2A,bio/hg38_CDY2A
HMDBP00045,dcs:ProteinTypeEnzyme,"""Involved in transferase activity, transferring acyl groups other than amino-acyl groups""","""nan""",dcs:CellularCompartmentPeroxisome,424,23874,P09110,X12966,ACAA1,82,bio/THIK_HUMAN,bio/hg19_ACAA1,bio/hg38_ACAA1
HMDBP00046,dcs:ProteinTypeEnzyme,"""Involved in oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor""","""The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links the glycolytic pathway to the tricarboxylic cycle.""",dcs:CellularCompartmentMitochondrionMatrix,390,,P08559,M24848,PDHA1,8806,bio/ODPA_HUMAN,bio/hg19_PDHA1,bio/hg38_PDHA1
HMDBP00047,dcs:ProteinTypeUnknown,"""Involved in acetyl-CoA carboxylase activity""","""Catalyzes the rate-limiting reaction in the biogenesis of long-chain fatty acids. Carries out three functions: biotin carboxyl carrier protein, biotin carboxylase and carboxyltransferase.""",dcs:CellularCompartmentCytoplasm,2346,38679967,Q13085,NM_198836.1,ACACA,84,bio/ACACA_HUMAN,bio/hg19_ACACA,bio/hg38_ACACA
HMDBP00048,dcs:ProteinTypeEnzyme,"""Involved in transferase activity, transferring acyl groups other than amino-acyl groups""","""nan""",dcs:CellularCompartmentMitochondrion,474,,P55084,D16481,HADHB,4803,bio/ECHB_HUMAN,bio/hg19_HADHB,bio/hg38_HADHB
HMDBP00049,dcs:ProteinTypeEnzyme,"""Involved in glycine C-acetyltransferase activity""","""nan""",dcs:CellularCompartmentMitochondrion,419,,O75600,AF077740,GCAT,4188,bio/KBL_HUMAN,bio/hg19_GCAT,bio/hg38_GCAT
HMDBP00050,dcs:ProteinTypeEnzyme,"""Involved in oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor""","""The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links the glycolytic pathway to the tricarboxylic cycle.""",dcs:CellularCompartmentMitochondrionMatrix,388,,P29803,AK313872,PDHA2,8807,bio/ODPAT_HUMAN,bio/hg19_PDHA2,bio/hg38_PDHA2
HMDBP00051,dcs:ProteinTypeUnknown,"""Involved in oxidoreductase activity""","""Plays a role in valine and pyrimidine metabolism. Binds fatty acyl-CoA.""",dcs:CellularCompartmentMitochondrion,535,6164678,Q02252,AF148505,ALDH6A1,7179,bio/MMSA_HUMAN,bio/hg19_ALDH6A1,bio/hg38_ALDH6A1
HMDBP00052,dcs:ProteinTypeEnzyme,"""Involved in N-acetyltransferase activity""","""nan""",dcs:CellularCompartmentGolgiApparatusMembrane,184,21748766,Q96EK6,AK090577,GNPNAT1,19980,bio/GNA1_HUMAN,bio/hg19_GNPNAT1,bio/hg38_GNPNAT1
HMDBP00053,dcs:ProteinTypeEnzyme,"""Involved in hydroxymethylglutaryl-CoA synthase activity""","""This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase.""",dcs:CellularCompartmentCytoplasm,520,30009,Q01581,X66435,HMGCS1,5007,bio/HMCS1_HUMAN,bio/hg19_HMGCS1,bio/hg38_HMGCS1
HMDBP00054,dcs:ProteinTypeUnknown,"""Involved in oxidoreductase activity""","""Lipoamide dehydrogenase is a component of the glycine cleavage system as well as of the alpha-ketoacid dehydrogenase complexes. Involved in the hyperactivation of spermatazoa during capacitation and in the spermatazoal acrosome reaction.""",dcs:CellularCompartmentMitochondrionMatrix,509,91199540,P09622,NM_000108.3,DLD,2898,bio/DLDH_HUMAN,bio/hg19_DLD,bio/hg38_DLD
HMDBP00055,dcs:ProteinTypeEnzyme,"""Involved in acyltransferase activity""","""The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links the glycolytic pathway to the tricarboxylic cycle.""",dcs:CellularCompartmentMitochondrionMatrix,647,62898924,P10515,AK223596,DLAT,2896,bio/ODP2_HUMAN,bio/hg19_DLAT,bio/hg38_DLAT
HMDBP00056,dcs:ProteinTypeEnzyme,"""Involved in hydrolase activity""","""Hydrolyzes fatty acids from S-acylated cysteine residues in proteins such as trimeric G alpha proteins or HRAS. Has depalmitoylating activity and also low lysophospholipase activity.""",dcs:CellularCompartmentCytoplasm,230,5453722,O75608,NM_006330.2,LYPLA1,6737,bio/LYPA1_HUMAN,bio/hg19_LYPLA1,bio/hg38_LYPLA1
HMDBP00057,dcs:ProteinTypeUnknown,"""Involved in phosphatidylcholine-sterol O-acyltransferase activity""","""Has transacylase and calcium-independent phospholipase A2 activity. Catalyzes the formation of 1-O-acyl-N-acetylsphingosine and the concomitant release of a lyso-phospholipid (By similarity). May have weak lysophospholipase activity.""",dcs:CellularCompartmentLysosome,412,,Q8NCC3,AB017494,PLA2G15,17163,bio/PAG15_HUMAN,bio/hg19_PLA2G15,bio/hg38_PLA2G15
HMDBP00058,dcs:ProteinTypeUnknown,"""Involved in phospholipase A2 activity""","""PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides. This isozyme hydrolyzes more efficiently L-alpha-1-palmitoyl-2-oleoyl phosphatidylcholine than L-alpha-1-palmitoyl-2-arachidonyl phosphatidylcholine, L-alpha-1-palmitoyl-2-arachidonyl phosphatidylethanolamine, or L-alpha-1-stearoyl-2-arachidonyl phosphatidylinositol. May be involved in the production of lung surfactant, the remodeling or regulation of cardiac muscle.""",dcs:CellularCompartmentSecreted,138,10862735,P39877,AL158172,PLA2G5,9038,bio/PA2G5_HUMAN,bio/hg19_PLA2G5,bio/hg38_PLA2G5
HMDBP00059,dcs:ProteinTypeUnknown,"""Involved in phospholipase A2 activity""","""PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides. Hydrolyzes phosphatidylglycerol versus phosphatidylcholine with a 15-fold preference.""",dcs:CellularCompartmentSecreted,168,12276060,Q9BZM2,AF306566,PLA2G2F,30040,bio/PA2GF_HUMAN,bio/hg19_PLA2G2F,bio/hg38_PLA2G2F
HMDBP00060,dcs:ProteinTypeUnknown,"""Involved in metabolic process""","""Selectively hydrolyzes arachidonyl phospholipids in the sn-2 position releasing arachidonic acid. Together with its lysophospholipid activity, it is implicated in the initiation of the inflammatory response.""",dcs:CellularCompartmentCytoplasm,749,,P47712,M72393,PLA2G4A,9035,bio/PA24A_HUMAN,bio/hg19_PLA2G4A,bio/hg38_PLA2G4A
HMDBP00061,dcs:ProteinTypeUnknown,"""Involved in phospholipase A2 activity""","""PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides.""",dcs:CellularCompartmentSecreted,148,,P04054,M21054,PLA2G1B,9030,bio/PA21B_HUMAN,bio/hg19_PLA2G1B,bio/hg38_PLA2G1B
HMDBP00062,dcs:ProteinTypeUnknown,"""Involved in phospholipase A2 activity""","""Not known; does not seem to have catalytic activity.""",dcs:CellularCompartmentSecreted,195,15824793,Q9BX93,AF339053,PLA2G12B,18555,bio/PG12B_HUMAN,bio/hg19_PLA2G12B,bio/hg38_PLA2G12B
HMDBP00063,dcs:ProteinTypeUnknown,"""Involved in phospholipase A2 activity""","""PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides. Has a powerful potency for releasing arachidonic acid from cell membrane phospholipids. Prefers phosphatidylethanolamine and phosphatidylcholine liposomes to those of phosphatidylserine.""",dcs:CellularCompartmentSecreted,165,,O15496,U95301,PLA2G10,9029,bio/PA2GX_HUMAN,bio/hg19_PLA2G10,bio/hg38_PLA2G10
HMDBP00064,dcs:ProteinTypeEnzyme,"""Involved in sugar binding""","""Has lysophospholipase activity.""",,139,6650760,Q9UHV8,AF117383,LGALS13,15449,bio/PP13_HUMAN,bio/hg19_LGALS13,bio/hg38_LGALS13
HMDBP00065,dcs:ProteinTypeUnknown,"""Involved in phospholipase A2 activity""","""PA2 catalyzes the calcium-dependent hydrolysis of the 2-acyl groups in 3-sn-phosphoglycerides. Has a preference for arachidonic-containing phospholipids.""",dcs:CellularCompartmentSecreted,142,,Q9NZK7,AF189279,PLA2G2E,13414,bio/PA2GE_HUMAN,bio/hg19_PLA2G2E,bio/hg38_PLA2G2E
